ts,equity,equity_unit,ret_1d,drawdown,benchmark_equity,benchmark_ret_1d
2025-10-03T06:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T07:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T08:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T09:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T10:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T11:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T12:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T13:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T14:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T15:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T16:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T17:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T18:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T19:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T20:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T21:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T22:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-03T23:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T00:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T01:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T02:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T03:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T04:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T05:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T06:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T07:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T08:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T09:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T10:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T11:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T12:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T13:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T14:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T15:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T16:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T17:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T18:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T19:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T20:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T21:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T22:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-04T23:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-05T00:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-05T01:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-05T02:00:00+00:00,1.0,index,0.0,0.0,,
2025-10-05T03:00:00+00:00,0.9980451811250439,index,-0.0019548188749561085,0.0019548188749561085,,
