ts,equity,equity_unit,ret_1d,drawdown,benchmark_equity,benchmark_ret_1d
2026-02-02T09:00:00+00:00,1.0,index,0.0,0.0,0.8866365924461735,0.01097861534043143
2026-02-02T10:00:00+00:00,1.0,index,0.0,0.0,0.8841179734419674,-0.0028406440989058312
2026-02-02T11:00:00+00:00,1.0,index,0.0,0.0,0.8870319696583924,0.0032959359542035216
2026-02-02T12:00:00+00:00,1.0,index,0.0,0.0,0.8896387671349137,0.002938786386160741
2026-02-02T13:00:00+00:00,1.0,index,0.0,0.0,0.8923340853029187,0.0030296770639675064
2026-02-02T14:00:00+00:00,1.0,index,0.0,0.0,0.8879993091735726,-0.004857795080050686
2026-02-02T15:00:00+00:00,1.0,index,0.0,0.0,0.8994667312776456,0.012913773677082352
2026-02-02T16:00:00+00:00,1.0,index,0.0,0.0,0.8970107383812029,-0.002730498873431464
2026-02-02T17:00:00+00:00,1.0,index,0.0,0.0,0.9010475556881845,0.00450029986738687
2026-02-02T18:00:00+00:00,1.0,index,0.0,0.0,0.896270176101421,-0.0053020282410231045
2026-02-02T19:00:00+00:00,1.0,index,0.0,0.0,0.8936654319399082,-0.0029062042127105947
2026-02-02T20:00:00+00:00,1.0,index,0.0,0.0,0.8898678258314329,-0.004249471863571719
2026-02-02T21:00:00+00:00,1.0,index,0.0,0.0,0.8958392080957192,0.0067104148402119534
2026-02-02T22:00:00+00:00,1.0,index,0.0,0.0,0.8988409264922352,0.0033507334456781557
2026-02-02T23:00:00+00:00,1.0,index,0.0,0.0,0.8981953870681308,-0.0007181909557941735
2026-02-03T00:00:00+00:00,1.0,index,0.0,0.0,0.9019213552974159,0.004148282526196478
2026-02-03T01:00:00+00:00,1.0,index,0.0,0.0,0.9013782534776313,-0.0006021609496157376
2026-02-03T02:00:00+00:00,1.0,index,0.0,0.0,0.8875797484734743,-0.015308229315407318
2026-02-03T03:00:00+00:00,1.0,index,0.0,0.0,0.898363188533559,0.01214926329564281
2026-02-03T04:00:00+00:00,1.0,index,0.0,0.0,0.8988773157971106,0.0005722933331571145
2026-02-03T05:00:00+00:00,1.0,index,0.0,0.0,0.8925127237086702,-0.007080601519904195
2026-02-03T06:00:00+00:00,1.0,index,0.0,0.0,0.8965477158467552,0.004520935142883209
2026-02-03T07:00:00+00:00,1.0,index,0.0,0.0,0.8988348806202654,0.0025510798065555562
2026-02-03T08:00:00+00:00,1.0,index,0.0,0.0,0.898302045375524,-0.000592806594659101
2026-02-03T09:00:00+00:00,1.0,index,0.0,0.0,0.8943328733907714,-0.004418527159306906
2026-02-03T10:00:00+00:00,1.0,index,0.0,0.0,0.8911428203787408,-0.0035669638307442852
2026-02-03T11:00:00+00:00,1.0,index,0.0,0.0,0.8906767178717802,-0.0005230390643361504
2026-02-03T12:00:00+00:00,1.0,index,0.0,0.0,0.8935372138249243,0.0032115984349283533
2026-02-03T13:00:00+00:00,1.0,index,0.0,0.0,0.8932792946452283,-0.0002886496227639812
2026-02-03T14:00:00+00:00,1.0,index,0.0,0.0,0.880657909506301,-0.014129270894989054
2026-02-03T15:00:00+00:00,1.0,index,0.0,0.0,0.8912793658268152,0.012060819764247332
2026-02-03T16:00:00+00:00,1.0,index,0.0,0.0,0.8725229035881908,-0.021044425527819266
2026-02-03T17:00:00+00:00,1.0,index,0.0,0.0,0.8545873110607972,-0.02055601343372726
2026-02-03T18:00:00+00:00,1.0,index,0.0,0.0,0.8343204074872079,-0.023715427682201473
2026-02-03T19:00:00+00:00,1.0,index,0.0,0.0,0.8548064454014414,0.024554161363417926
2026-02-03T20:00:00+00:00,1.0,index,0.0,0.0,0.8723796278298104,0.020558083672516325
2026-02-03T21:00:00+00:00,1.0,index,0.0,0.0,0.86968647704987,-0.003087131672985133
2026-02-03T22:00:00+00:00,1.0,index,0.0,0.0,0.8636337606966306,-0.00695965329226611
2026-02-03T23:00:00+00:00,1.0,index,0.0,0.0,0.864333941114576,0.0008107376642856323
2026-02-04T00:00:00+00:00,1.0,index,0.0,0.0,0.8659386067938263,0.0018565343820480251
2026-02-04T01:00:00+00:00,1.0,index,0.0,0.0,0.8717888434726029,0.006755948554409974
2026-02-04T02:00:00+00:00,1.0,index,0.0,0.0,0.8665371481188442,-0.006024045149327195
2026-02-04T03:00:00+00:00,1.0,index,0.0,0.0,0.8749194644224391,0.009673349055827396
2026-02-04T04:00:00+00:00,1.0,index,0.0,0.0,0.8724278807325133,-0.0028477863291913597
2026-02-04T05:00:00+00:00,1.0,index,0.0,0.0,0.8701491573651498,-0.002611933224153984
2026-02-04T06:00:00+00:00,1.0,index,0.0,0.0,0.8744005460905339,0.004885816057395687
2026-02-04T07:00:00+00:00,1.0,index,0.0,0.0,0.8728220031411158,-0.0018052858686740114
2026-02-04T08:00:00+00:00,1.0,index,0.0,0.0,0.8736542801579501,0.0009535472454167415
2026-02-04T09:00:00+00:00,1.0,index,0.0,0.0,0.8683126952360355,-0.006114071713754887
2026-02-04T10:00:00+00:00,1.0,index,0.0,0.0,0.8704013728920441,0.002405444107253185
2026-02-04T11:00:00+00:00,1.0,index,0.0,0.0,0.867152001890875,-0.0037331868978704996
2026-02-04T12:00:00+00:00,1.0,index,0.0,0.0,0.8690182370876146,0.0021521430990993906
2026-02-04T13:00:00+00:00,1.0,index,0.0,0.0,0.8540307486204005,-0.017246460232460015
2026-02-04T14:00:00+00:00,1.0,index,0.0,0.0,0.8482418832457709,-0.006778286828642788
2026-02-04T15:00:00+00:00,1.0,index,0.0,0.0,0.8456961148542284,-0.003001229297710739
2026-02-04T16:00:00+00:00,1.0,index,0.0,0.0,0.8399884694954959,-0.006749049993822309
2026-02-04T17:00:00+00:00,1.0,index,0.0,0.0,0.8278975240671335,-0.014394180238717302
2026-02-04T18:00:00+00:00,1.0,index,0.0,0.0,0.837592364953472,0.01171019432297804
2026-02-04T19:00:00+00:00,1.0,index,0.0,0.0,0.8432655602492816,0.006773217537775267
