ts,open,high,low,close,volume,ema20,atr14,vol_sma20
2024-01-02 08:00:00,17841.0,17895.0,17831.0,17884.0,13986,17884.0,64.0,
2024-01-02 09:00:00,17882.0,17920.0,17794.0,17822.0,56418,17878.095238095237,68.42857142857143,
2024-01-02 10:00:00,17822.0,17822.0,17760.0,17770.0,28442,17867.800453514737,67.96938775510205,
2024-01-02 11:00:00,17771.0,17781.0,17751.0,17773.0,13950,17858.771838894285,65.25728862973762,
2024-01-02 12:00:00,17774.0,17783.0,17757.0,17781.0,7788,17851.364997094828,62.453196584756355,
2024-01-02 13:00:00,17782.0,17809.0,17775.0,17798.0,11971,17846.282616419132,60.42082540013091,
2024-01-02 15:00:00,17793.0,17817.0,17790.0,17803.0,3785,17842.160462474454,58.03362358583585,
2024-01-02 16:00:00,17803.0,17814.0,17800.0,17809.0,2256,17839.002323191173,54.88836475827615,
2024-01-02 17:00:00,17809.0,17812.0,17786.0,17790.0,3110,17834.335435268204,52.82491013268499,
2024-01-02 18:00:00,17790.0,17794.0,17780.0,17780.0,3013,17829.160631909326,50.05170226606464,
2024-01-02 19:00:00,17780.0,17784.0,17733.0,17748.0,11266,17821.431047917962,50.1194378184886,
2024-01-02 20:00:00,17748.0,17748.0,17715.0,17717.0,8277,17811.485233830535,48.896620831453696,
2024-01-02 21:00:00,17718.0,17736.0,17714.0,17734.0,6376,17804.10568775144,46.975433629207004,
2024-01-02 22:00:00,17734.0,17738.0,17685.0,17709.0,16402,17795.048003203683,47.40575979854936,
2024-01-02 23:00:00,17710.0,17728.0,17672.0,17688.0,15419,17784.852955279523,48.01963409865298,
2024-01-03 00:00:00,17688.0,17722.0,17688.0,17717.0,5429,17778.390769062426,47.01823166303491,
2024-01-03 01:00:00,17717.0,17724.0,17700.0,17701.0,2917,17771.02021962791,45.37407225853242,
2024-01-03 02:00:00,17701.0,17706.0,17675.0,17678.0,3202,17762.161151091917,44.347352811494396,
2024-01-03 03:00:00,17678.0,17686.0,17658.0,17659.0,4934,17752.336279559353,43.17968475353051,
2024-01-03 04:00:00,17660.0,17674.0,17653.0,17672.0,3788,17744.685205315607,41.59542155684976,11136.45
2024-01-03 05:00:00,17673.0,17676.0,17671.0,17675.0,195,17738.04851909507,38.98146287421763,10446.9
2024-01-03 08:00:00,17658.0,17667.0,17630.0,17630.0,11756,17727.75818394316,39.411358383202085,8213.8
2024-01-03 09:00:00,17631.0,17642.0,17575.0,17591.0,49399,17714.733594996193,41.38197564154479,9261.65
2024-01-03 10:00:00,17591.0,17595.0,17517.0,17535.0,32698,17697.616109758463,43.997548810005874,10199.05
2024-01-03 11:00:00,17535.0,17542.0,17508.0,17540.0,14544,17682.605051686227,43.28343818071974,10536.85
2024-01-03 12:00:00,17540.0,17582.0,17538.0,17550.0,17099,17669.97599914468,43.33462116781119,10793.25
2024-01-03 13:00:00,17550.0,17560.0,17538.0,17543.0,11987,17657.883046845185,41.81071965582468,11203.35
2024-01-03 15:00:00,17542.0,17561.0,17539.0,17558.0,4264,17648.370375717073,40.3956682518372,11303.75
2024-01-03 16:00:00,17559.0,17580.0,17555.0,17561.0,6139,17640.049387553543,39.295977662420256,11455.2
2024-01-03 17:00:00,17560.0,17567.0,17501.0,17506.0,8362,17627.28277921511,41.20340782939024,11722.65
2024-01-03 18:00:00,17507.0,17529.0,17500.0,17524.0,6224,17617.446324051765,40.331735841576645,11470.55
2024-01-03 19:00:00,17524.0,17534.0,17507.0,17517.0,4539,17607.880007475407,39.37946899574975,11283.65
2024-01-03 20:00:00,17517.0,17521.0,17479.0,17488.0,9150,17596.462863906323,39.56664978176762,11422.35
2024-01-03 21:00:00,17488.0,17525.0,17483.0,17505.0,7451,17587.752114962863,39.740460511641366,10974.8
2024-01-03 22:00:00,17505.0,17556.0,17491.0,17533.0,16467,17582.53762782354,41.544713332238416,11027.2
2024-01-03 23:00:00,17535.0,17565.0,17521.0,17547.0,14617,17579.153091840348,41.72009095136425,11486.6
2024-01-04 00:00:00,17548.0,17556.0,17534.0,17540.0,4877,17575.424225950792,40.3115130262668,11584.6
2024-01-04 01:00:00,17539.0,17563.0,17526.0,17561.0,3203,17574.050490145954,40.07497638153346,11584.65
2024-01-04 02:00:00,17561.0,17577.0,17548.0,17554.0,4225,17572.140919655863,39.28390663999536,11549.2
2024-01-04 03:00:00,17553.0,17584.0,17516.0,17562.0,7138,17571.175117783878,41.33505616570997,11716.7
2024-01-04 04:00:00,17562.0,17563.0,17533.0,17535.0,2716,17567.729868471128,40.52540929673069,11842.75
2024-01-04 05:00:00,17534.0,17536.0,17531.0,17531.0,174,17564.23178575959,37.987880061249925,11263.65
2024-01-04 08:00:00,17533.0,17560.0,17525.0,17553.0,8899,17563.162091877726,37.77446005687493,9238.65
2024-01-04 09:00:00,17552.0,17583.0,17526.0,17554.0,35104,17562.289511698895,39.14771290995529,9358.95
2024-01-04 10:00:00,17553.0,17568.0,17527.0,17554.0,14644,17561.500034394237,39.28001913067277,9363.95
2024-01-04 11:00:00,17554.0,17563.0,17532.0,17540.0,9198,17559.452412070976,38.68858919276757,8968.9
2024-01-04 12:00:00,17539.0,17548.0,17534.0,17538.0,5557,17557.409325207074,36.92511853614132,8647.4
2024-01-04 13:00:00,17539.0,17553.0,17530.0,17548.0,8095,17556.513198996876,35.93046721213123,8838.95
2024-01-04 15:00:00,17569.0,17598.0,17569.0,17580.0,9122,17558.75003718765,36.935433839836136,8988.1
2024-01-04 16:00:00,17581.0,17594.0,17578.0,17578.0,3993,17560.5833669793,35.44004570841928,8769.65
2024-01-04 17:00:00,17578.0,17594.0,17577.0,17592.0,2394,17563.575427266984,34.12289958638933,8578.15
2024-01-04 18:00:00,17592.0,17610.0,17588.0,17599.0,5356,17566.9491960987,33.25697818736152,8619.0
2024-01-04 19:00:00,17600.0,17603.0,17572.0,17575.0,4574,17567.715939327394,33.09576545969284,8390.2
2024-01-04 20:00:00,17576.0,17584.0,17561.0,17574.0,6131,17568.314421296214,32.37463935542907,8324.2
2024-01-04 21:00:00,17573.0,17585.0,17555.0,17563.0,6160,17567.80828593467,32.20502225861271,7808.85
2024-01-04 22:00:00,17564.0,17564.0,17538.0,17551.0,11569,17566.207496798033,31.761806382997516,7656.45
