entry_time,exit_time,entry,exit,stop,t1,t2,reason,ret
2024-01-23T08:00:00,2024-01-23T15:00:00,17836.0,17906.0,17784.423415851412,17913.364876222884,17949.468485126894,time_or_ema,0.003924646781789639
2024-01-25T21:00:00,2024-01-25T23:00:00,18058.0,18016.985661260966,18016.985661260966,18119.52150810855,18148.231545225877,stop,-0.0022712558832115644
2024-01-26T21:00:00,2024-01-26T22:00:00,18051.0,18010.93941912558,18010.93941912558,18111.09087131163,18139.13327792372,stop,-0.002219299810227606
2024-01-26T23:00:00,2024-01-27T01:00:00,18055.0,18011.0,17998.556948123587,18139.66457781462,18179.17471412811,time_or_ema,-0.0024369980614788148
2024-01-31T22:00:00,2024-02-01T02:00:00,18004.0,17971.668095291312,17971.668095291312,18052.497857063034,18075.130190359112,stop,-0.0017958178576254135
2024-02-02T10:00:00,2024-02-02T17:00:00,18074.0,18068.0,18027.65865603678,18143.51201594483,18175.950956719083,time_or_ema,-0.00033196857364169527
2024-02-05T10:00:00,2024-02-05T17:00:00,18074.0,18076.0,18026.779503088655,18144.830745367017,18177.885093204957,time_or_ema,0.00011065619121389841
2024-02-19T12:00:00,2024-02-19T16:00:00,18679.0,18656.419758093933,18656.419758093933,18712.870362859103,18728.67653219335,stop,-0.0012088571072363288
2024-02-26T12:00:00,2024-02-26T19:00:00,18972.0,18979.0,18912.010585235526,19061.98412214671,19103.976712481843,time_or_ema,0.00036896479021716216
2024-03-08T21:00:00,2024-03-09T00:00:00,19918.0,19835.878742976474,19835.878742976474,20041.18188553529,20098.666765451755,stop,-0.004122967015941645
2024-03-14T08:00:00,2024-03-14T09:00:00,19933.0,19883.997633790932,19883.997633790932,20006.503549313602,20040.805205659948,stop,-0.00245835379566889
2024-03-14T13:00:00,2024-03-14T20:00:00,19938.0,19925.0,19885.014627913846,20017.47805812923,20054.567818589538,time_or_ema,-0.0006520212659243656
2024-03-20T08:00:00,2024-03-20T09:00:00,19887.0,19836.13993839071,19836.13993839071,19963.29009241394,19998.89213554044,stop,-0.002557452688152649
2024-03-21T02:00:00,2024-03-21T09:00:00,19947.0,20111.568203295166,19872.19627122947,20059.205593155795,20111.568203295166,target,0.006937729895497105
2024-03-22T12:00:00,2024-03-22T19:00:00,20214.0,20195.0,20163.339699151376,20289.990451272934,20325.452661866973,time_or_ema,-0.0009399426140298803
2024-03-27T11:00:00,2024-03-27T18:00:00,20224.0,20276.0,20192.769947968358,20270.845078047463,20292.706114469613,time_or_ema,0.002443756874195589
2024-03-28T22:00:00,2024-03-29T04:00:00,20234.0,20209.0,20188.232064048243,20302.651903927635,20334.689459093865,time_or_ema,-0.0012355441336364536
2024-03-29T08:00:00,2024-03-29T09:00:00,20241.0,20211.14073949061,20211.14073949061,20285.788890764088,20306.69037312066,stop,-0.001475187021856177
2024-03-29T10:00:00,2024-03-29T17:00:00,20284.0,20348.0,20229.246862111802,20366.129706832297,20404.456903354036,time_or_ema,0.003602092950904568
2024-04-02T08:00:00,2024-04-02T09:00:00,20376.0,20444.279153745767,20344.96402102465,20422.553968463024,20444.279153745767,target,0.0028178524295443385
2024-04-12T10:00:00,2024-04-12T16:00:00,20768.0,20736.0,20716.371521950194,20845.442717074708,20881.582651709574,time_or_ema,-0.0015408320493066256
2024-05-02T20:00:00,2024-05-02T21:00:00,20361.0,20320.57418528442,20320.57418528442,20421.638722073374,20449.93679237428,stop,-0.001985453303648225
2024-05-08T11:00:00,2024-05-08T18:00:00,20714.0,20710.0,20642.91651157902,20820.62523263147,20870.383674526154,time_or_ema,-0.00019310611180843875
2024-05-08T22:00:00,2024-05-08T23:00:00,20720.0,20685.058774616606,20685.058774616606,20772.41183807509,20796.870695843467,stop,-0.0016863525764186458
2024-05-10T11:00:00,2024-05-10T12:00:00,20691.0,20739.79671323522,20668.819675802173,20724.27048629674,20739.79671323522,target,0.0019831617498419795
2024-05-14T21:00:00,2024-05-15T02:00:00,21014.0,21128.95798003671,20961.746372710586,21092.38044093412,21128.95798003671,target,0.004600228918121991
2024-05-20T22:00:00,2024-05-21T04:00:00,21344.0,21359.0,21314.41988890483,21388.37016664275,21409.07624440937,time_or_ema,0.0007027736131934033
2024-05-24T11:00:00,2024-05-24T18:00:00,21592.0,21603.0,21529.49523456449,21685.757148153265,21729.510483958125,time_or_ema,0.0005094479436828455
2024-06-07T13:00:00,2024-06-07T20:00:00,21897.0,21822.906603174226,21822.906603174226,22008.14009523866,22060.005473016703,stop,-0.0033837236528188384
2024-06-14T09:00:00,2024-06-14T16:00:00,22340.0,22450.0,22257.582845128392,22463.62573230741,22521.317740717535,time_or_ema,0.005228865987184639
2024-06-14T22:00:00,2024-06-15T04:00:00,22429.0,22460.0,22356.03142322168,22538.452865167477,22589.5308689123,time_or_ema,0.0013821391947924561
2024-06-17T09:00:00,2024-06-17T16:00:00,22535.0,22513.0,22411.714764258657,22719.927853612015,22806.227518630956,time_or_ema,-0.000976259152429554
2024-06-20T09:00:00,2024-06-20T15:00:00,23184.0,23382.318208587265,23093.85535973306,23319.21696040041,23382.318208587265,target,0.007193218792867352
2024-06-21T10:00:00,2024-06-21T15:00:00,23267.0,23156.686071425876,23156.686071425876,23432.470892861187,23509.690642863072,stop,-0.0047412184026356455
2024-06-25T13:00:00,2024-06-25T15:00:00,22749.0,22698.2763331959,22698.2763331959,22825.08550020615,22860.59206696902,stop,-0.0022297097368719726
2024-06-27T10:00:00,2024-06-27T17:00:00,22760.0,22885.0,22694.596801865213,22858.10479720218,22903.887035896532,time_or_ema,0.004901247741699926
2024-07-01T08:00:00,2024-07-01T10:00:00,23002.0,23136.031486070893,22941.076597240502,23093.385104139248,23136.031486070893,target,0.00489993457547477
2024-07-02T22:00:00,2024-07-03T04:00:00,22939.0,23024.0,22846.96069521323,23077.058957180154,23141.486470530894,time_or_ema,0.004862002641356507
2024-07-11T09:00:00,2024-07-11T16:00:00,24330.0,24329.0,24146.17688764806,24605.73466852791,24734.41084717427,time_or_ema,-4.110152075626798e-05
2024-07-16T09:00:00,2024-07-16T10:00:00,23916.0,24086.046678841132,23838.706055072213,24031.94091739168,24086.046678841132,target,0.00597900142650969
2024-08-12T22:00:00,2024-08-13T04:00:00,21849.0,21798.0,21611.263276496436,22205.605085255345,22372.02079170784,time_or_ema,-0.0023342029383495813
2024-08-13T20:00:00,2024-08-14T00:00:00,21826.0,22037.46922143291,21729.877626621404,21970.183560067893,22037.46922143291,target,0.008147456737395878
2024-08-19T10:00:00,2024-08-19T12:00:00,22495.0,22354.472108140308,22354.472108140308,22705.79183778954,22804.161362091323,stop,-0.006247072320946535
2024-08-27T13:00:00,2024-08-27T16:00:00,22153.0,22274.631437461863,22097.71298297188,22235.93052554218,22274.631437461863,target,0.004617026204217079
2024-08-29T21:00:00,2024-08-30T02:00:00,22412.0,22289.640380421377,22289.640380421377,22595.539429367935,22681.19116307297,stop,-0.0054595582535526994
2024-08-30T12:00:00,2024-08-30T18:00:00,22349.0,22280.699403076243,22280.699403076243,22451.450895385635,22499.261313232266,stop,-0.0030560918575218816
2024-09-02T08:00:00,2024-09-02T09:00:00,22392.0,22288.184948651928,22288.184948651928,22547.72257702211,22620.393112965758,stop,-0.004636256312436241
2024-09-12T00:00:00,2024-09-12T08:00:00,21278.0,21624.426387366064,21120.533460288152,21514.19980956777,21624.426387366064,target,0.013690812034350828
2024-09-16T12:00:00,2024-09-16T15:00:00,21837.0,21805.04471134564,21805.04471134564,21884.93293298154,21907.301635039592,stop,-0.0014633552527526963
2024-09-19T10:00:00,2024-09-19T17:00:00,21983.0,22174.0,21726.84484352439,22367.232734713412,22546.54134424634,time_or_ema,0.008688532047491242
2024-09-20T12:00:00,2024-09-20T13:00:00,22301.0,22219.510987069338,22219.510987069338,22423.233519395995,22480.27582844746,stop,-0.0036540519676544676
2024-09-23T21:00:00,2024-09-24T03:00:00,22324.0,22328.0,22248.531819072363,22437.202271391456,22490.0299980408,time_or_ema,0.00017917935853789643
2024-09-24T12:00:00,2024-09-24T15:00:00,22380.0,22547.799563630528,22303.727471077033,22494.40879338445,22547.799563630528,target,0.006304923078976253
2024-10-04T20:00:00,2024-10-05T02:00:00,22619.0,22537.0,22304.733092111415,23090.40036183288,23310.387197354885,time_or_ema,-0.0036252707900437686
2024-10-09T23:00:00,2024-10-10T05:00:00,22776.0,22782.0,22688.0714544898,22907.8928182653,22969.44280012244,time_or_ema,0.00026343519494204424
2024-10-11T22:00:00,2024-10-12T04:00:00,22963.0,23037.0,22865.13457320172,23109.798140197418,23178.30393895621,time_or_ema,0.003222575447458956
2024-10-15T09:00:00,2024-10-15T16:00:00,23314.0,23185.0,23089.554747964852,23650.66787805272,23807.779554477325,time_or_ema,-0.005533156043578965
2024-10-16T15:00:00,2024-10-16T21:00:00,23129.0,23145.0,22991.20771905614,23335.68842141579,23432.143018076495,time_or_ema,0.0006917722339919582
2024-10-17T13:00:00,2024-10-17T15:00:00,23260.0,23525.092717397358,23139.50331027393,23440.745034589105,23525.092717397358,target,0.009583786586123442
2024-10-25T09:00:00,2024-10-25T11:00:00,23347.0,23302.0,23282.557969476857,23443.663045784713,23488.772467150917,time_or_ema,-0.0019274424979654774
2024-10-25T13:00:00,2024-10-25T20:00:00,23477.0,23588.0,23317.24762511007,23716.628562334896,23828.455224757843,time_or_ema,0.004728031690590791
